id,nome,preco,estoque
1,Camiseta Básica,49.90,25
2,Calça Jeans,129.90,15
3,Tênis Esportivo,249.00,10
4,Boné Estiloso,39.90,20
5,Relógio Digital,199.90,8
6,Mochila Escolar,89.90,12
7,Fone de Ouvido,99.00,18
8,Jaqueta Jeans,179.00,7
9,Cinto de Couro,69.90,14
10,Óculos de Sol,149.90,9
11,Camiseta neon,85.00,20
12,Shorts esportivo,75.00,30
13,Meias coloridas,25.00,50
14,Chapéu de palha,60.00,15
15,Bolsa de mão,120.00,10
16,Carteira masculina,80.00,25
17,Relógio de pulso,220.00,5
18,Jaqueta de couro,300.00,8
19,Tênis casual,150.00,12
20,Calça de moletom,90.00,20
21,Camiseta polo,70.00,30
22,Regata básica,40.00,40
23,Blusa de frio,110.00,10
24,Sandália confortável,55.00,18
25,Bota de couro,250.00,6
26,Chinelo de praia,30.00,25
27,Calça social,130.00,14
28,Camisa social,95.00,22
29,Gravata elegante,45.00,30
